fila_excel;sku_en_excel;sku_asignado;producto;producto_que_ya_tenia_ese_sku
1957;6726;7059;VALVULA LLENADO CON FLOTADOR PARA TANQUE;TUBO AMARILLO 3" SEMIPESADO X 6M
1958;6727;7060;VALVULA LLENADO UNIVERSAL VALQUA;TUBO AMARILLO 3" SEMIPESADO X M
1959;6728;7061;VALVULA SALIDA CON AGUA STOP;TUBO AMARILLO 4" LIVIANO ORIGINAL X 6M
1960;6729;7062;VALVULA OLLA APRECION SILICONA;TUBO AMARILLO 4" LIVIANO ORIGINAL X M
1961;6730;7063;VALVULA PASO LISA 1/2";TUBO AMARILLO 4" SEMIPESADO X 6M
1962;6731;7064;VALVULA PCP 1/2" NARANJA LISA FINA;TUBO AMARILLO 4" SEMIPESADO X M
1963;6732;7065;VALVULA PCP 1" NARANJA ROSCADA;TUBO CONDUIT 1/2" SEMIPESADO ECONOMICO
1964;6733;7066;VALVULA POZUELO BRONCE 1-1/2";TUBO CONDUIT 3/4" SEMIPESADO ECONOMICO
1965;6734;7067;VALVULA POZUELO BRONCE 2";TUBO CONDUIT FINO 1/2"
1966;6735;7068;VALVULA POZUELO PLASTICA 1-1/2";TUBO CONDUIT 1" PESADO
1967;6736;7069;VALVULA RECTA HACEB;TUBO CORTINA ALUMINA DORADO 3/4"
1968;6737;7070;VALVULA ROSCADA 1/2" BOLSA;TUBO DE VENTILADOR KDK BLANCO
1969;6738;7071;VALVULA ROSCADA 3/4" PVC;TUBO ENLACE SIFON LVM
